%File: MA_CRP_09032023.CRS
%DIDACTA Italia:
%Exercise on: C.R.P. OpenLoop

%Test Date: 05/09/2000   User:                               

%Test #: 0

%Sample Rate: 1 s

%Notes: 


%----------
% #       time  Out.Sig  Act.Sig    Noise       SP      
%        [sec]      [%]      [%]      [%]      [%]      
402     403.0     22.1     30.0      0.0     50.0
403     404.0     22.1     30.0      0.0     50.0
404     405.0     22.1     30.0      0.0     50.0
405     406.0     22.1     30.0      0.0     50.0
406     407.0     22.0     30.0      0.0     50.0
407     408.0     22.1     30.0      0.0     50.0
408     409.0     22.0     30.0      0.0     50.0
409     410.0     21.9     30.0      0.0     50.0
410     411.0     22.1     30.0      0.0     50.0
411     412.0     22.0     30.0      0.0     50.0
412     413.0     22.0     30.0      0.0     50.0
413     414.0     21.9     30.0      0.0     50.0
414     415.0     22.1     30.0      0.0     50.0
415     416.0     22.0     30.0      0.0     50.0
416     417.0     22.1     30.0      0.0     50.0
417     418.0     21.9     30.0      0.0     50.0
418     419.0     21.9     30.0      0.0     50.0
419     420.0     22.0     30.0      0.0     50.0
420     421.0     21.8     30.0      0.0     50.0
421     422.0     21.9     30.0      0.0     50.0
422     423.0     22.0     30.0      0.0     50.0
423     424.0     21.9     30.0      0.0     50.0
424     425.0     21.9     30.0      0.0     50.0
425     426.0     22.0     30.0      0.0     50.0
426     427.0     21.9     30.0      0.0     50.0
427     428.0     22.1     30.0      0.0     50.0
428     429.0     22.0     30.0      0.0     50.0
429     430.0     21.9     30.0      0.0     50.0
430     431.0     22.0     30.0      0.0     50.0
431     432.0     21.9     30.0      0.0     50.0
432     433.0     21.9     30.0      0.0     50.0
433     434.0     22.0     30.0      0.0     50.0
434     435.0     21.9     30.0      0.0     50.0
435     436.0     21.9     30.0      0.0     50.0
436     437.0     21.9     30.0      0.0     50.0
437     438.0     22.0     30.0      0.0     50.0
438     439.0     21.9     30.0      0.0     50.0
439     440.0     21.8     30.0      0.0     50.0
440     441.0     21.9     30.0      0.0     50.0
441     442.0     21.8     30.0      0.0     50.0
442     443.0     21.9     30.0      0.0     50.0
443     444.0     21.9     30.0      0.0     50.0
444     445.0     21.9     30.0      0.0     50.0
445     446.0     22.0     30.0      0.0     50.0
446     447.0     21.8     30.0      0.0     50.0
447     448.0     22.0     30.0      0.0     50.0
448     449.0     21.9     30.0      0.0     50.0
449     450.0     21.7     30.0      0.0     50.0
450     451.0     21.8     30.0      0.0     50.0
451     452.0     21.9     30.0      0.0     50.0
452     453.0     21.9     30.0      0.0     50.0
453     454.0     21.7     30.0      0.0     50.0
454     455.0     21.8     30.0      0.0     50.0
455     456.0     21.8     30.0      0.0     50.0
456     457.0     21.9     30.0      0.0     50.0
457     458.0     21.8     30.0      0.0     50.0
458     459.0     21.8     30.0      0.0     50.0
459     460.0     21.7     30.0      0.0     50.0
460     461.0     21.7     30.0      0.0     50.0
461     462.0     21.7     30.0      0.0     50.0
462     463.0     21.8     30.0      0.0     50.0
463     464.0     21.8     30.0      0.0     50.0
464     465.0     21.8     27.0      0.0     50.0
465     466.0     21.7     27.0      0.0     50.0
466     467.0     21.9     27.0      0.0     50.0
467     468.0     21.9     27.0      0.0     50.0
468     469.0     22.0     27.0      0.0     50.0
469     470.0     22.1     27.0      0.0     50.0
470     471.0     22.0     27.0      0.0     50.0
471     472.0     21.9     27.0      0.0     50.0
